"Date","Price","Open","High","Low","Vol.","Change %"
"Sep 30, 2020","4,803.44","4,831.36","4,854.02","4,782.69","98.79M","-0.59%"
"Sep 29, 2020","4,832.07","4,832.87","4,846.63","4,806.45","73.79M","-0.23%"
"Sep 28, 2020","4,843.27","4,806.14","4,849.97","4,788.18","96.86M","2.40%"
"Sep 25, 2020","4,729.66","4,754.81","4,758.05","4,666.26","96.96M","-0.69%"
"Sep 24, 2020","4,762.62","4,746.10","4,806.83","4,744.04","97.84M","-0.83%"
"Sep 23, 2020","4,802.26","4,824.17","4,871.45","4,802.26","86.95M","0.62%"
"Sep 22, 2020","4,772.84","4,809.57","4,827.00","4,772.84","92.91M","-0.40%"
"Sep 21, 2020","4,792.04","4,949.76","4,949.76","4,779.21","128.89M","-3.74%"
"Sep 18, 2020","4,978.18","5,035.94","5,041.33","4,978.18","279.16M","-1.22%"
"Sep 17, 2020","5,039.50","5,005.89","5,053.32","4,995.65","85.82M","-0.69%"
"Sep 16, 2020","5,074.42","5,065.75","5,091.52","5,029.56","81.46M","0.13%"
"Sep 15, 2020","5,067.93","5,056.90","5,087.99","5,035.10","79.32M","0.32%"
"Sep 14, 2020","5,051.88","5,071.87","5,087.52","5,034.91","57.54M","0.35%"
"Sep 11, 2020","5,034.14","5,014.97","5,053.63","4,997.86","70.57M","0.20%"
"Sep 10, 2020","5,023.93","5,039.48","5,062.89","5,005.84","70.70M","-0.38%"
"Sep 09, 2020","5,042.98","4,980.46","5,058.35","4,973.36","86.32M","1.40%"
"Sep 08, 2020","4,973.52","5,052.88","5,061.60","4,935.38","85.59M","-1.59%"
"Sep 07, 2020","5,053.72","4,979.87","5,064.64","4,979.87","61.69M","1.79%"
"Sep 04, 2020","4,965.07","4,974.69","5,068.88","4,928.79","108.59M","-0.89%"
"Sep 03, 2020","5,009.52","5,074.64","5,131.39","4,982.34","93.62M","-0.44%"
"Sep 02, 2020","5,031.74","4,969.62","5,062.01","4,959.64","87.00M","1.90%"
"Sep 01, 2020","4,938.10","4,974.42","4,993.56","4,892.83","91.32M","-0.18%"
"Aug 31, 2020","4,947.22","5,041.34","5,067.55","4,942.18","97.43M","-1.11%"
"Aug 28, 2020","5,002.94","5,031.31","5,031.53","4,970.64","71.21M","-0.26%"
"Aug 27, 2020","5,015.97","5,052.26","5,052.26","5,005.46","67.45M","-0.64%"
"Aug 26, 2020","5,048.43","4,991.63","5,050.10","4,977.94","49.32M","0.80%"
"Aug 25, 2020","5,008.27","5,023.06","5,073.61","5,008.27","64.06M","0.01%"
"Aug 24, 2020","5,007.89","4,948.71","5,013.70","4,948.71","68.84M","2.28%"
"Aug 21, 2020","4,896.33","4,927.61","4,939.25","4,839.08","72.89M","-0.30%"
"Aug 20, 2020","4,911.24","4,914.69","4,937.95","4,888.15","66.41M","-1.33%"
"Aug 19, 2020","4,977.23","4,934.79","4,977.23","4,917.53","53.10M","0.79%"
"Aug 18, 2020","4,938.06","4,951.98","5,001.29","4,924.15","60.47M","-0.68%"
"Aug 17, 2020","4,971.94","4,972.59","4,995.55","4,937.72","51.86M","0.18%"
"Aug 14, 2020","4,962.93","5,018.95","5,018.95","4,921.58","66.38M","-1.58%"
"Aug 13, 2020","5,042.38","5,055.42","5,079.02","5,037.55","57.69M","-0.61%"
"Aug 12, 2020","5,073.31","5,017.73","5,096.53","5,010.80","76.79M","0.90%"
"Aug 11, 2020","5,027.99","4,952.41","5,052.12","4,949.05","97.81M","2.41%"
"Aug 10, 2020","4,909.51","4,905.27","4,937.63","4,878.58","62.04M","0.41%"
"Aug 07, 2020","4,889.52","4,873.10","4,896.21","4,843.90","62.37M","0.09%"
"Aug 06, 2020","4,885.13","4,919.41","4,951.86","4,860.98","80.02M","-0.98%"
"Aug 05, 2020","4,933.34","4,916.96","4,954.60","4,907.41","74.97M","0.90%"
"Aug 04, 2020","4,889.52","4,905.66","4,920.80","4,856.65","86.95M","0.28%"
"Aug 03, 2020","4,875.93","4,797.06","4,899.52","4,763.60","104.62M","1.93%"
"Jul 31, 2020","4,783.69","4,866.24","4,902.90","4,783.69","129.68M","-1.43%"
"Jul 30, 2020","4,852.94","4,952.08","4,952.38","4,801.02","137.07M","-2.13%"
"Jul 29, 2020","4,958.74","4,948.48","4,978.50","4,945.58","75.52M","0.60%"
"Jul 28, 2020","4,928.94","4,930.10","4,950.01","4,893.63","78.67M","-0.22%"
"Jul 27, 2020","4,939.62","4,944.30","4,957.77","4,923.19","74.17M","-0.34%"
"Jul 24, 2020","4,956.43","4,973.73","4,982.12","4,925.41","76.47M","-1.54%"
"Jul 23, 2020","5,033.76","5,064.72","5,083.97","5,019.21","79.47M","-0.07%"
"Jul 22, 2020","5,037.12","5,098.48","5,099.29","5,028.48","75.80M","-1.32%"
"Jul 21, 2020","5,104.28","5,129.78","5,172.98","5,097.42","85.78M","0.22%"
"Jul 20, 2020","5,093.18","5,058.48","5,100.79","5,015.11","65.19M","0.47%"
"Jul 17, 2020","5,069.42","5,088.00","5,091.13","5,045.07","82.55M","-0.31%"
"Jul 16, 2020","5,085.28","5,076.52","5,105.12","5,048.32","69.54M","-0.46%"
"Jul 15, 2020","5,108.98","5,045.92","5,145.33","5,039.19","97.82M","2.03%"
"Jul 14, 2020","5,007.46","4,990.48","5,007.46","4,941.73","83.50M","-0.96%"
"Jul 13, 2020","5,056.23","5,026.20","5,060.43","4,980.12","75.19M","1.73%"
"Jul 10, 2020","4,970.48","4,891.61","4,974.37","4,882.50","82.36M","1.01%"
"Jul 09, 2020","4,921.01","5,006.52","5,014.85","4,911.56","83.12M","-1.21%"
"Jul 08, 2020","4,981.13","5,004.82","5,040.52","4,969.83","79.88M","-1.24%"
"Jul 07, 2020","5,043.73","5,054.04","5,056.52","5,009.03","75.99M","-0.74%"
"Jul 06, 2020","5,081.51","5,112.50","5,121.72","5,059.07","88.52M","1.49%"
"Jul 03, 2020","5,007.14","5,056.67","5,062.51","4,982.24","61.98M","-0.84%"
"Jul 02, 2020","5,049.38","4,963.13","5,072.71","4,956.66","115.45M","2.49%"
"Jul 01, 2020","4,926.94","4,939.80","4,963.37","4,851.37","94.50M","-0.18%"
"Jun 30, 2020","4,935.99","4,958.94","4,967.35","4,901.96","102.40M","-0.19%"
"Jun 29, 2020","4,945.46","4,887.23","4,977.63","4,867.33","94.42M","0.73%"
"Jun 26, 2020","4,909.64","4,965.72","5,014.83","4,908.15","83.95M","-0.18%"
"Jun 25, 2020","4,918.58","4,860.16","4,941.96","4,795.05","99.38M","0.97%"
"Jun 24, 2020","4,871.36","4,985.63","5,004.04","4,871.36","97.10M","-2.92%"
"Jun 23, 2020","5,017.68","4,972.88","5,046.31","4,962.60","101.53M","1.39%"
"Jun 22, 2020","4,948.70","4,928.01","5,006.40","4,902.06","84.70M","-0.62%"
"Jun 19, 2020","4,979.45","4,997.53","5,040.47","4,979.45","219.58M","0.42%"
"Jun 18, 2020","4,958.75","4,978.30","5,017.18","4,908.60","101.20M","-0.75%"
"Jun 17, 2020","4,995.97","4,952.57","5,026.84","4,952.57","107.06M","0.88%"
"Jun 16, 2020","4,952.46","4,922.79","5,006.79","4,887.56","144.45M","2.84%"
"Jun 15, 2020","4,815.72","4,716.98","4,841.53","4,691.81","111.89M","-0.49%"
"Jun 12, 2020","4,839.26","4,774.11","4,940.79","4,759.17","133.16M","0.49%"
"Jun 11, 2020","4,815.60","4,925.95","4,956.30","4,815.60","161.27M","-4.71%"
"Jun 10, 2020","5,053.42","5,119.86","5,152.45","5,043.57","121.34M","-0.82%"
"Jun 09, 2020","5,095.11","5,187.09","5,203.42","5,053.21","160.53M","-1.55%"
"Jun 08, 2020","5,175.52","5,159.30","5,213.67","5,137.20","152.91M","-0.43%"
"Jun 05, 2020","5,197.79","5,060.92","5,199.65","5,060.92","186.84M","3.71%"
"Jun 04, 2020","5,011.98","4,994.18","5,052.75","4,966.82","138.79M","-0.21%"
"Jun 03, 2020","5,022.38","4,911.45","5,026.45","4,909.99","160.11M","3.36%"
"Jun 02, 2020","4,858.97","4,799.88","4,880.15","4,795.28","126.84M","2.02%"
"Jun 01, 2020","4,762.78","4,776.72","4,782.03","4,721.63","75.98M","1.43%"
"May 29, 2020","4,695.44","4,733.98","4,768.85","4,695.36","167.18M","-1.59%"
