Date,Price,Open,High,Low,Volume,Change %,Country
"Nov 18, 2020","4,952.36","4,960.13","4,969.39","4,930.25",152.48M,-0.16%,UAE
"Nov 17, 2020","4,960.13","4,953.91","4,992.44","4,942.24",177.93M,0.17%,UAE
"Nov 16, 2020","4,951.87","4,873.41","4,951.87","4,873.41",148.70M,1.64%,UAE
"Nov 15, 2020","4,871.85","4,858.96","4,923.68","4,851.43",106.99M,0.33%,UAE
"Nov 12, 2020","4,855.90","4,832.02","4,872.09","4,815.96",93.95M,0.49%,UAE
"Nov 11, 2020","4,832.25","4,769.49","4,832.48","4,754.73",118.22M,1.34%,UAE
"Nov 10, 2020","4,768.22","4,744.70","4,772.73","4,737.49",117.85M,0.52%,UAE
"Nov 09, 2020","4,743.43","4,706.16","4,744.96","4,702.24",102.03M,0.79%,UAE
"Nov 08, 2020","4,706.16","4,717.98","4,726.89","4,695.84",78.82M,-0.25%,UAE
"Nov 05, 2020","4,718.01","4,691.06","4,718.23","4,677.49",128.95M,0.60%,UAE
"Nov 04, 2020","4,689.79","4,649.01","4,689.84","4,649.01",84.22M,0.87%,UAE
"Nov 03, 2020","4,649.43","4,638.62","4,671.82","4,638.56",88.61M,0.25%,UAE
"Nov 02, 2020","4,637.78","4,636.76","4,648.81","4,628.11",81.23M,0.07%,UAE
"Nov 01, 2020","4,634.54","4,660.55","4,660.55","4,625.21",80.12M,-0.55%,UAE
"Oct 28, 2020","4,660.04","4,683.29","4,714.04","4,660.03",134.13M,-0.49%,UAE
"Oct 27, 2020","4,682.82","4,624.85","4,686.96","4,624.85",218.29M,1.25%,UAE
"Oct 26, 2020","4,624.85","4,566.81","4,628.09","4,566.81",223.21M,1.24%,UAE
"Oct 25, 2020","4,568.08","4,556.74","4,571.42","4,548.88",152.71M,0.25%,UAE
"Oct 22, 2020","4,556.74","4,543.85","4,559.78","4,538.45",93.03M,0.29%,UAE
"Oct 21, 2020","4,543.70","4,542.63","4,559.01","4,538.59",104.52M,0.02%,UAE
"Oct 20, 2020","4,542.63","4,559.04","4,568.38","4,540.81",104.79M,-0.37%,UAE
"Oct 19, 2020","4,559.55","4,546.73","4,569.97","4,546.73",204.06M,0.28%,UAE
"Oct 18, 2020","4,546.95","4,554.37","4,554.87","4,546.63",117.53M,-0.16%,UAE
"Oct 15, 2020","4,554.37","4,572.58","4,575.58","4,554.37",87.95M,-0.41%,UAE
"Oct 14, 2020","4,573.00","4,539.04","4,576.53","4,538.05",125.00M,0.61%,UAE
"Oct 13, 2020","4,545.18","4,532.82","4,550.58","4,532.33",89.01M,0.27%,UAE
"Oct 12, 2020","4,532.82","4,491.60","4,533.63","4,491.60",80.11M,0.89%,UAE
"Oct 11, 2020","4,492.63","4,512.74","4,514.46","4,489.30",58.94M,-0.44%,UAE
"Oct 08, 2020","4,512.50","4,492.44","4,512.50","4,489.56",76.73M,0.40%,UAE
"Oct 07, 2020","4,494.53","4,486.86","4,494.68","4,483.13",85.72M,0.26%,UAE
"Oct 06, 2020","4,482.78","4,489.97","4,502.18","4,479.59",83.48M,-0.11%,UAE
"Oct 05, 2020","4,487.74","4,493.13","4,505.80","4,486.20",99.28M,-0.11%,UAE
"Oct 04, 2020","4,492.90","4,491.18","4,496.11","4,482.84",66.45M,0.02%,UAE
"Oct 01, 2020","4,492.02","4,518.30","4,518.30","4,488.80",56.77M,-0.58%,UAE
"Sep 30, 2020","4,518.06","4,495.22","4,518.83","4,489.57",88.59M,0.52%,UAE
"Sep 29, 2020","4,494.75","4,492.18","4,509.04","4,492.18",72.95M,0.06%,UAE
"Sep 28, 2020","4,492.18","4,485.42","4,508.13","4,485.15",97.66M,0.14%,UAE
"Sep 27, 2020","4,485.84","4,462.17","4,491.12","4,462.17",44.59M,0.43%,UAE
"Sep 24, 2020","4,466.82","4,489.21","4,489.21","4,462.35",90.06M,-0.52%,UAE
"Sep 23, 2020","4,490.23","4,498.74","4,521.16","4,489.47",96.94M,-0.18%,UAE
"Sep 22, 2020","4,498.23","4,491.35","4,519.75","4,483.43",100.13M,0.13%,UAE
"Sep 21, 2020","4,492.19","4,546.16","4,547.54","4,492.02",80.65M,-1.19%,UAE
"Sep 20, 2020","4,546.16","4,512.29","4,546.16","4,502.18",75.73M,0.79%,UAE
"Sep 17, 2020","4,510.60","4,504.31","4,512.79","4,485.69",179.21M,0.12%,UAE
"Sep 16, 2020","4,505.33","4,505.94","4,516.33","4,496.25",96.15M,-0.08%,UAE
"Sep 15, 2020","4,509.00","4,515.58","4,520.03","4,498.29",95.22M,-0.14%,UAE
"Sep 14, 2020","4,515.11","4,511.19","4,527.92","4,511.19",70.20M,0.11%,UAE
"Sep 13, 2020","4,510.07","4,520.25","4,523.61","4,504.67",68.96M,-0.20%,UAE
"Sep 10, 2020","4,519.13","4,508.82","4,527.09","4,508.82",91.92M,0.23%,UAE
"Sep 09, 2020","4,508.82","4,517.52","4,528.89","4,504.62",86.69M,-0.24%,UAE
