"Date","Price","Open","High","Low","Vol.","Change %"
"Nov 18, 2020","11,801.60","11,896.06","11,942.49","11,799.96","963.95M","-0.82%"
"Nov 17, 2020","11,899.34","11,913.35","11,950.18","11,852.41","849.41M","-0.21%"
"Nov 16, 2020","11,924.13","11,847.11","11,937.72","11,814.89","935.40M","0.80%"
"Nov 13, 2020","11,829.29","11,794.94","11,849.79","11,715.52","787.30M","1.02%"
"Nov 12, 2020","11,709.59","11,802.50","11,847.84","11,666.37","829.44M","-0.65%"
"Nov 11, 2020","11,786.43","11,656.65","11,793.58","11,638.90","819.26M","2.01%"
"Nov 10, 2020","11,553.86","11,622.44","11,665.87","11,424.61","1.03B","-1.37%"
"Nov 09, 2020","11,713.78","12,046.66","12,108.07","11,703.49","1.41B","-1.53%"
"Nov 06, 2020","11,895.23","11,869.90","11,920.54","11,737.13","893.72M","0.04%"
"Nov 05, 2020","11,890.93","11,816.33","11,924.28","11,784.15","828.68M","2.59%"
"Nov 04, 2020","11,590.78","11,443.78","11,663.30","11,394.21","852.15M","3.85%"
"Nov 03, 2020","11,160.57","11,038.66","11,213.92","11,004.84","710.54M","1.85%"
"Nov 02, 2020","10,957.61","11,010.45","11,071.08","10,830.95","715.79M","0.42%"
"Oct 30, 2020","10,911.59","11,103.47","11,129.81","10,822.57","873.95M","-2.45%"
"Oct 29, 2020","11,185.59","11,064.47","11,287.63","11,030.19","733.27M","1.64%"
"Oct 28, 2020","11,004.87","11,230.90","11,249.95","10,999.07","856.55M","-3.73%"
"Oct 27, 2020","11,431.35","11,409.34","11,465.06","11,361.86","676.35M","0.64%"
"Oct 26, 2020","11,358.94","11,440.64","11,545.63","11,221.06","690.96M","-1.64%"
"Oct 23, 2020","11,548.28","11,536.00","11,548.85","11,434.86","657.56M","0.37%"
"Oct 22, 2020","11,506.01","11,526.97","11,548.77","11,369.29","750.16M","0.19%"
"Oct 21, 2020","11,484.69","11,530.39","11,613.79","11,476.08","753.85M","-0.28%"
"Oct 20, 2020","11,516.49","11,531.83","11,632.89","11,471.24","714.59M","0.33%"
"Oct 19, 2020","11,478.88","11,732.34","11,778.11","11,454.57","755.00M","-1.65%"
"Oct 16, 2020","11,671.55","11,761.83","11,827.42","11,648.53","741.76M","-0.36%"
"Oct 15, 2020","11,713.87","11,559.88","11,740.68","11,559.10","661.41M","-0.47%"
"Oct 14, 2020","11,768.73","11,889.07","11,939.92","11,714.35","697.01M","-0.80%"
"Oct 13, 2020","11,863.90","11,901.76","11,946.98","11,821.83","729.33M","-0.10%"
"Oct 12, 2020","11,876.26","11,732.33","11,965.54","11,704.13","830.65M","2.56%"
"Oct 09, 2020","11,579.94","11,487.60","11,581.23","11,476.66","729.77M","1.39%"
"Oct 08, 2020","11,420.98","11,443.35","11,448.22","11,384.33","715.15M","0.50%"
"Oct 07, 2020","11,364.60","11,271.68","11,380.56","11,258.35","834.93M","1.88%"
"Oct 06, 2020","11,154.60","11,314.53","11,392.41","11,124.45","936.32M","-1.57%"
"Oct 05, 2020","11,332.49","11,169.11","11,335.21","11,162.52","781.32M","2.32%"
"Oct 02, 2020","11,075.02","11,082.53","11,244.87","11,033.69","810.86M","-2.22%"
"Oct 01, 2020","11,326.51","11,291.99","11,344.13","11,240.53","843.82M","1.42%"
"Sep 30, 2020","11,167.51","11,092.90","11,277.96","11,092.90","1.02B","0.74%"
"Sep 29, 2020","11,085.25","11,109.00","11,153.23","11,065.63","763.32M","-0.29%"
"Sep 28, 2020","11,117.53","11,084.38","11,120.79","11,019.14","840.42M","1.87%"
"Sep 25, 2020","10,913.56","10,680.46","10,939.55","10,639.98","820.01M","2.26%"
"Sep 24, 2020","10,672.27","10,551.02","10,799.55","10,520.22","923.44M","0.37%"
"Sep 23, 2020","10,632.99","10,950.83","10,962.03","10,612.92","962.40M","-3.02%"
"Sep 22, 2020","10,963.64","10,873.29","10,979.65","10,737.52","845.80M","1.71%"
"Sep 21, 2020","10,778.80","10,610.14","10,782.74","10,519.49","1.02B","-0.13%"
"Sep 18, 2020","10,793.28","10,973.45","10,977.68","10,639.95","2.41B","-1.07%"
"Sep 17, 2020","10,910.28","10,796.05","10,974.45","10,783.81","936.99M","-1.27%"
"Sep 16, 2020","11,050.47","11,222.08","11,245.42","11,046.43","923.76M","-1.25%"
"Sep 15, 2020","11,190.32","11,193.96","11,244.46","11,127.98","828.01M","1.21%"
"Sep 14, 2020","11,056.65","11,010.14","11,118.29","10,982.26","882.03M","1.87%"
"Sep 11, 2020","10,853.54","11,010.07","11,033.04","10,728.03","817.03M","-0.60%"
"Sep 10, 2020","10,919.59","11,235.53","11,299.53","10,875.02","898.02M","-1.99%"
"Sep 09, 2020","11,141.56","11,064.76","11,217.69","10,970.45","861.84M","2.71%"
"Sep 08, 2020","10,847.69","10,900.70","11,131.50","10,837.20","984.13M","-4.11%"
"Sep 04, 2020","11,313.13","11,396.24","11,531.18","10,875.87","1.02B","-1.27%"
"Sep 03, 2020","11,458.10","11,861.90","11,894.40","11,361.36","1.05B","-4.96%"
"Sep 02, 2020","12,056.44","12,047.26","12,074.07","11,836.18","903.54M","0.98%"
"Sep 01, 2020","11,939.67","11,850.96","11,945.72","11,794.78","812.61M","1.39%"
"Aug 31, 2020","11,775.46","11,718.81","11,829.84","11,697.42","940.53M","0.68%"
"Aug 28, 2020","11,695.63","11,689.28","11,708.77","11,634.77","694.25M","0.60%"
"Aug 27, 2020","11,625.34","11,688.20","11,730.01","11,551.01","773.52M","-0.34%"
"Aug 26, 2020","11,665.06","11,516.62","11,672.05","11,507.46","738.61M","1.73%"
"Aug 25, 2020","11,466.47","11,370.23","11,468.26","11,343.04","719.87M","0.76%"
"Aug 24, 2020","11,379.72","11,449.25","11,462.05","11,297.53","837.05M","0.60%"
"Aug 21, 2020","11,311.80","11,258.45","11,326.21","11,245.44","879.96M","0.42%"
"Aug 20, 2020","11,264.95","11,096.40","11,283.62","11,090.03","830.32M","1.06%"
"Aug 19, 2020","11,146.46","11,214.80","11,257.42","11,132.10","752.24M","-0.57%"
"Aug 18, 2020","11,210.84","11,170.75","11,230.62","11,103.83","736.48M","0.73%"
"Aug 17, 2020","11,129.72","11,083.25","11,144.53","11,080.30","741.24M","1.00%"
"Aug 14, 2020","11,019.30","11,042.24","11,058.44","10,972.06","729.02M","-0.21%"
"Aug 13, 2020","11,042.50","11,026.86","11,124.85","11,007.50","750.92M","0.27%"
"Aug 12, 2020","11,012.24","10,878.12","11,036.72","10,877.16","811.57M","2.13%"
"Aug 11, 2020","10,782.82","10,942.66","10,989.42","10,762.71","969.23M","-1.69%"
"Aug 10, 2020","10,968.36","11,033.72","11,040.24","10,849.46","894.84M","-0.39%"
"Aug 07, 2020","11,010.98","11,072.53","11,126.04","10,920.37","891.08M","-0.87%"
"Aug 06, 2020","11,108.07","10,989.97","11,121.19","10,963.41","876.40M","1.00%"
"Aug 05, 2020","10,998.40","10,967.87","11,002.11","10,943.72","887.01M","0.52%"
"Aug 04, 2020","10,941.17","10,897.89","10,941.91","10,852.90","886.04M","0.35%"
"Aug 03, 2020","10,902.80","10,848.64","10,927.56","10,831.15","904.39M","1.47%"
"Jul 31, 2020","10,745.28","10,741.47","10,747.80","10,557.70","1.09B","1.49%"
"Jul 30, 2020","10,587.81","10,450.12","10,609.59","10,412.09","897.26M","0.43%"
"Jul 29, 2020","10,542.94","10,474.70","10,567.91","10,464.00","878.49M","1.35%"
"Jul 28, 2020","10,402.09","10,509.20","10,523.64","10,397.87","811.00M","-1.27%"
