"Date","Price","Open","High","Low","Vol.","Change %"
"Nov 18, 2020","5,511.45","5,468.17","5,521.01","5,452.12","90.37M","0.52%"
"Nov 17, 2020","5,483.00","5,468.29","5,487.31","5,441.26","97.13M","0.21%"
"Nov 16, 2020","5,471.48","5,430.57","5,518.91","5,402.31","139.10M","1.70%"
"Nov 13, 2020","5,380.16","5,343.32","5,411.12","5,343.25","101.91M","0.33%"
"Nov 12, 2020","5,362.57","5,394.37","5,421.40","5,348.63","103.38M","-1.52%"
"Nov 11, 2020","5,445.21","5,433.66","5,462.95","5,408.67","111.22M","0.48%"
"Nov 10, 2020","5,418.97","5,351.31","5,439.08","5,327.22","209.89M","1.55%"
"Nov 09, 2020","5,336.32","5,036.92","5,387.49","5,021.33","245.97M","7.57%"
"Nov 06, 2020","4,960.88","4,964.26","4,997.74","4,915.24","89.98M","-0.46%"
"Nov 05, 2020","4,983.99","4,956.02","4,998.19","4,942.18","103.98M","1.24%"
"Nov 04, 2020","4,922.85","4,736.46","4,926.56","4,730.31","112.28M","2.44%"
"Nov 03, 2020","4,805.61","4,743.86","4,812.29","4,730.23","114.00M","2.44%"
"Nov 02, 2020","4,691.14","4,614.95","4,705.11","4,581.86","94.94M","2.11%"
"Oct 30, 2020","4,594.24","4,519.37","4,601.74","4,519.37","109.10M","0.54%"
"Oct 29, 2020","4,569.67","4,571.13","4,606.72","4,512.57","120.09M","-0.03%"
"Oct 28, 2020","4,571.12","4,635.19","4,640.63","4,521.61","162.66M","-3.37%"
"Oct 27, 2020","4,730.66","4,818.98","4,818.98","4,723.70","107.93M","-1.77%"
"Oct 26, 2020","4,816.12","4,844.64","4,896.47","4,814.99","85.09M","-1.90%"
"Oct 23, 2020","4,909.64","4,843.28","4,934.71","4,843.14","80.39M","1.20%"
"Oct 22, 2020","4,851.38","4,830.44","4,873.90","4,783.65","89.67M","-0.05%"
"Oct 21, 2020","4,853.95","4,945.33","4,945.33","4,849.01","77.28M","-1.53%"
"Oct 20, 2020","4,929.28","4,932.87","4,968.61","4,914.49","89.48M","0.00%"
"Oct 19, 2020","4,929.27","4,955.39","4,993.39","4,881.46","44.91M","-0.13%"
"Oct 16, 2020","4,935.86","4,904.10","4,957.60","4,875.76","103.41M","2.03%"
"Oct 15, 2020","4,837.42","4,873.03","4,881.31","4,808.58","106.04M","-2.11%"
"Oct 14, 2020","4,941.66","4,956.69","4,965.32","4,928.43","71.56M","-0.12%"
"Oct 13, 2020","4,947.61","4,976.28","4,976.58","4,928.64","81.15M","-0.64%"
"Oct 12, 2020","4,979.29","4,952.47","4,998.51","4,944.00","74.09M","0.66%"
"Oct 09, 2020","4,946.81","4,925.41","4,954.02","4,918.06","82.33M","0.71%"
"Oct 08, 2020","4,911.94","4,910.49","4,936.04","4,877.10","76.90M","0.61%"
"Oct 07, 2020","4,882.00","4,888.49","4,915.63","4,865.26","90.53M","-0.27%"
"Oct 06, 2020","4,895.46","4,881.80","4,925.71","4,850.36","88.77M","0.48%"
"Oct 05, 2020","4,871.87","4,863.63","4,876.86","4,842.26","73.98M","0.97%"
"Oct 02, 2020","4,824.88","4,769.43","4,824.88","4,757.22","78.03M","0.02%"
"Oct 01, 2020","4,824.04","4,850.20","4,871.83","4,804.77","90.32M","0.43%"
"Sep 30, 2020","4,803.44","4,793.19","4,854.02","4,782.69","98.79M","-0.59%"
"Sep 29, 2020","4,832.07","4,832.87","4,846.63","4,806.45","73.79M","-0.23%"
