"Date","Price","Open","High","Low","Vol.","Change %"
"Nov 18, 2020","4,952.36","4,960.13","4,969.39","4,930.25","152.48M","-0.16%"
"Nov 17, 2020","4,960.13","4,953.91","4,992.44","4,942.24","177.93M","0.17%"
"Nov 16, 2020","4,951.87","4,873.41","4,951.87","4,873.41","148.70M","1.64%"
"Nov 15, 2020","4,871.85","4,858.96","4,923.68","4,851.43","106.99M","0.33%"
"Nov 12, 2020","4,855.90","4,832.02","4,872.09","4,815.96","93.95M","0.49%"
"Nov 11, 2020","4,832.25","4,769.49","4,832.48","4,754.73","118.22M","1.34%"
"Nov 10, 2020","4,768.22","4,744.70","4,772.73","4,737.49","117.85M","0.52%"
"Nov 09, 2020","4,743.43","4,706.16","4,744.96","4,702.24","102.03M","0.79%"
"Nov 08, 2020","4,706.16","4,717.98","4,726.89","4,695.84","78.82M","-0.25%"
"Nov 05, 2020","4,718.01","4,691.06","4,718.23","4,677.49","128.95M","0.60%"
"Nov 04, 2020","4,689.79","4,649.01","4,689.84","4,649.01","84.22M","0.87%"
"Nov 03, 2020","4,649.43","4,638.62","4,671.82","4,638.56","88.61M","0.25%"
"Nov 02, 2020","4,637.78","4,636.76","4,648.81","4,628.11","81.23M","0.07%"
"Nov 01, 2020","4,634.54","4,660.55","4,660.55","4,625.21","80.12M","-0.55%"
"Oct 28, 2020","4,660.04","4,683.29","4,714.04","4,660.03","134.13M","-0.49%"
"Oct 27, 2020","4,682.82","4,624.85","4,686.96","4,624.85","218.29M","1.25%"
"Oct 26, 2020","4,624.85","4,566.81","4,628.09","4,566.81","223.21M","1.24%"
"Oct 25, 2020","4,568.08","4,556.74","4,571.42","4,548.88","152.71M","0.25%"
"Oct 22, 2020","4,556.74","4,543.85","4,559.78","4,538.45","93.03M","0.29%"
"Oct 21, 2020","4,543.70","4,542.63","4,559.01","4,538.59","104.52M","0.02%"
"Oct 20, 2020","4,542.63","4,559.04","4,568.38","4,540.81","104.79M","-0.37%"
"Oct 19, 2020","4,559.55","4,546.73","4,569.97","4,546.73","204.06M","0.28%"
"Oct 18, 2020","4,546.95","4,554.37","4,554.87","4,546.63","117.53M","-0.16%"
"Oct 15, 2020","4,554.37","4,572.58","4,575.58","4,554.37","87.95M","-0.41%"
"Oct 14, 2020","4,573.00","4,539.04","4,576.53","4,538.05","125.00M","0.61%"
"Oct 13, 2020","4,545.18","4,532.82","4,550.58","4,532.33","89.01M","0.27%"
"Oct 12, 2020","4,532.82","4,491.60","4,533.63","4,491.60","80.11M","0.89%"
"Oct 11, 2020","4,492.63","4,512.74","4,514.46","4,489.30","58.94M","-0.44%"
